Name,Bachelor,Senior High,Junior High,Primary,Illiteracy
Beijing,41980,17593,23289,10503,6635
Tianjin,26940,17719,32294,16123,6924
Hebei,12418,13861,39950,24664,9107
Shanxi,17358,16485,38950,19506,7701
InnerMongolia,18688,14814,33861,23627,9010
Liaoning,18216,14670,42799,18888,5427
Jilin,16738,17080,38234,22318,5630
Heilongjiang,14793,15525,42793,21863,5026
Shanghai,33872,19020,28935,11929,6244
Jiangsu,18663,16191,33308,22742,9096
Zhejiang,16990,14555,32706,26384,9365
Anhui,13280,13294,33724,26875,12827
Fujian,14148,14212,32218,28031,11391
Jiangxi,11897,15145,35501,27514,9943
Shandong,14384,14334,35778,23693,11811
Henan,11744,15239,37518,24557,10942
Hubei,15502,17428,34280,23520,9270
Hunan,12239,17776,35636,25214,9135
Guangdong,15699,18224,35484,20676,9917
Guangxi,10806,12962,36388,27855,11989
Hainan,13919,15561,40174,19701,10645
Chongqing,15412,15956,30582,29894,8156
Sichuan,13267,13301,31443,31317,10672
Guizhou,10952,9951,30464,31921,16712
Yunnan,11601,10338,29241,35667,13153
Xizang,11019,7051,15757,32108,34065
Shaanxi,18397,15581,33979,21686,10357
Gansu,14506,12937,27423,29808,15326
Qinghai,14880,10568,24344,32725,17483
Ningxia,17340,13432,29717,26111,13400
Xinjiang,16536,13208,31559,28405,10292
Taiwan,0,0,0,0,0
